timestamp,data_id,node_id,data_type,gateway_id,region,access_frequency,latency_ms,recovery_time_ms,bandwidth_mb_s,storage_overhead_pct,data_size_mb,node_storage_tb,redundancy_factor,cluster_id,node_failed,access_frequency_norm,latency_ms_norm,recovery_time_ms_norm,bandwidth_mb_s_norm,storage_overhead_pct_norm,data_size_mb_norm,node_storage_tb_norm,priority_score,backup_success
2024-01-01 00:00:30,data_0183,edge_node_09,sensor_reading,gateway_05,region_4,2,20.21,416.69,48.15,17.57,44.27,2.73,3,74,0,0.2,0.1392,0.6662,0.4239,0.5028,0.2907,0.1922,0.3964,1
2024-01-01 00:01:19,data_0352,edge_node_21,video_stream,gateway_01,region_5,4,13.44,121.37,88.6,15.48,85.84,2.87,1,340,0,0.4,0.0772,0.1297,0.8734,0.4192,0.5637,0.2078,0.3466,1
2024-01-01 00:02:16,data_0036,edge_node_13,log_file,gateway_02,region_1,7,42.02,450.68,91.01,6.9,2.96,3.2,3,104,0,0.7,0.3387,0.7279,0.9002,0.076,0.0194,0.2444,0.6803,1
2024-01-01 00:05:49,data_0370,edge_node_10,log_file,gateway_05,region_1,9,17.14,172.19,29.39,8.1,5.68,1.39,1,392,1,0.9,0.1111,0.222,0.2154,0.124,0.0373,0.0433,0.6355,0
2024-01-01 00:09:48,data_0037,edge_node_38,config_update,gateway_04,region_5,4,51.12,345.19,82.0,7.82,25.75,3.81,3,278,0,0.4,0.422,0.5363,0.8001,0.1128,0.1691,0.3122,0.5017,1
2024-01-01 00:10:24,data_0496,edge_node_11,image_frame,gateway_05,region_5,3,93.42,50.0,64.53,21.0,46.45,8.29,2,298,0,0.3,0.809,0.0,0.6059,0.64,0.305,0.81,0.3782,1
2024-01-01 00:10:24,data_0014,edge_node_04,event_alert,gateway_05,region_2,6,92.51,60.16,54.66,18.29,11.93,2.92,2,384,0,0.6,0.8007,0.0185,0.4962,0.5316,0.0783,0.2133,0.5541,1
2024-01-01 00:10:29,data_0411,edge_node_46,log_file,gateway_05,region_1,2,45.96,121.6,31.41,29.65,11.8,3.1,1,344,0,0.2,0.3748,0.1301,0.2378,0.986,0.0775,0.2333,0.2478,0
2024-01-01 00:17:20,data_0123,edge_node_31,video_stream,gateway_03,region_1,3,39.39,50.0,82.23,15.86,1.64,7.54,1,52,0,0.3,0.3147,0.0,0.8026,0.4344,0.0108,0.7267,0.2871,0
2024-01-01 00:17:43,data_0083,edge_node_49,log_file,gateway_05,region_4,6,24.66,50.0,89.32,8.98,43.43,7.59,2,123,0,0.6,0.1799,0.0,0.8814,0.1592,0.2852,0.7322,0.5401,1
